"Twilight","Rise","Deleted","Marker","Inserted","Twilight3","Marker3"
2020-01-19 10:18:14,TRUE,FALSE,0,TRUE,2020-01-19 10:22:20,0
2020-01-20 01:45:57,FALSE,FALSE,0,FALSE,2020-01-20 01:45:57,0
2020-01-20 10:53:11,TRUE,FALSE,0,FALSE,2020-01-20 10:53:11,0
2020-01-21 02:23:05,FALSE,FALSE,0,FALSE,2020-01-21 02:23:05,0
2020-01-21 10:50:42,TRUE,FALSE,0,FALSE,2020-01-21 10:50:42,0
2020-01-22 02:45:37,FALSE,FALSE,0,FALSE,2020-01-22 02:45:37,0
2020-01-22 10:52:32,TRUE,FALSE,0,FALSE,2020-01-22 10:52:32,0
2020-01-23 02:48:05,FALSE,FALSE,0,FALSE,2020-01-23 02:48:05,0
2020-01-23 10:57:15,TRUE,FALSE,0,FALSE,2020-01-23 10:57:15,0
2020-01-24 03:13:04,FALSE,FALSE,0,FALSE,2020-01-24 03:13:04,0
2020-01-24 10:23:09,TRUE,FALSE,0,FALSE,2020-01-24 10:23:09,0
2020-01-25 04:09:58,FALSE,FALSE,0,FALSE,2020-01-25 04:09:58,0
2020-01-25 10:18:09,TRUE,FALSE,0,FALSE,2020-01-25 10:18:09,0
2020-01-26 04:25:54,FALSE,FALSE,0,FALSE,2020-01-26 04:25:54,0
2020-01-26 10:05:40,TRUE,FALSE,0,FALSE,2020-01-26 10:05:40,0
2020-01-27 04:24:57,FALSE,FALSE,0,FALSE,2020-01-27 04:24:57,0
2020-01-27 11:13:08,TRUE,FALSE,0,FALSE,2020-01-27 11:13:08,0
2020-01-28 03:51:06,FALSE,FALSE,0,FALSE,2020-01-28 03:51:06,0
2020-01-28 10:37:37,TRUE,FALSE,0,FALSE,2020-01-28 10:37:37,0
2020-01-29 03:28:02,FALSE,FALSE,0,FALSE,2020-01-29 03:28:02,0
2020-01-29 10:08:45,TRUE,FALSE,0,FALSE,2020-01-29 10:08:45,0
2020-01-30 02:18:02,FALSE,FALSE,0,FALSE,2020-01-30 02:18:02,0
2020-01-30 10:03:45,TRUE,FALSE,0,FALSE,2020-01-30 10:03:45,0
2020-01-31 01:10:34,FALSE,FALSE,0,FALSE,2020-01-31 01:10:34,0
2020-01-31 09:50:39,TRUE,FALSE,0,FALSE,2020-01-31 09:50:39,0
2020-02-01 01:00:29,FALSE,FALSE,0,TRUE,2020-02-01 00:51:43,0
2020-02-02 10:08:09,TRUE,FALSE,0,TRUE,2020-02-02 10:15:07,0
2020-02-03 01:04:59,FALSE,FALSE,0,TRUE,2020-02-03 00:51:43,0
