"Twilight","Rise","Deleted","Marker","Inserted","Twilight3","Marker3"
2020-01-05 10:01:39,TRUE,"FALSE",0,TRUE,2020-01-05 10:07:53,0
2020-01-06 01:14:21,FALSE,"FALSE",0,FALSE,2020-01-06 01:14:21,0
2020-01-06 09:52:13,TRUE,"FALSE",0,FALSE,2020-01-06 09:52:13,0
2020-01-07 01:08:23,FALSE,"FALSE",0,FALSE,2020-01-07 01:08:23,0
2020-01-07 09:50:55,TRUE,"FALSE",0,FALSE,2020-01-07 09:50:55,0
2020-01-08 01:28:21,FALSE,"FALSE",0,FALSE,2020-01-08 01:28:21,0
2020-01-08 09:16:31,TRUE,"FALSE",0,FALSE,2020-01-08 09:16:31,0
2020-01-09 01:21:25,FALSE,"FALSE",0,FALSE,2020-01-09 01:21:25,0
2020-01-09 09:56:10,TRUE,"FALSE",0,FALSE,2020-01-09 09:56:10,0
2020-01-10 01:02:04,FALSE,"FALSE",0,TRUE,2020-01-10 00:58:56,0
2020-01-16 10:02:06,TRUE,"FALSE",0,TRUE,2020-01-16 10:07:53,0
2020-01-17 01:38:05,FALSE,"FALSE",0,FALSE,2020-01-17 01:38:05,0
2020-01-17 11:00:16,TRUE,"FALSE",0,FALSE,2020-01-17 11:00:16,0
2020-01-18 02:14:00,FALSE,"FALSE",0,FALSE,2020-01-18 02:14:00,0
2020-01-18 10:56:14,TRUE,"FALSE",0,FALSE,2020-01-18 10:56:14,0
2020-01-19 02:33:02,FALSE,"FALSE",0,FALSE,2020-01-19 02:33:02,0
2020-01-19 10:50:53,TRUE,"FALSE",0,FALSE,2020-01-19 10:50:53,0
2020-01-20 02:38:57,FALSE,"FALSE",0,FALSE,2020-01-20 02:38:57,0
2020-01-20 10:30:51,TRUE,"FALSE",0,FALSE,2020-01-20 10:30:51,0
2020-01-21 03:28:36,FALSE,"FALSE",0,FALSE,2020-01-21 03:28:36,0
2020-01-21 09:58:41,TRUE,"FALSE",0,FALSE,2020-01-21 09:58:41,0
2020-01-22 03:46:02,FALSE,"FALSE",0,FALSE,2020-01-22 03:46:02,0
2020-01-22 10:18:39,TRUE,"FALSE",0,FALSE,2020-01-22 10:18:39,0
2020-01-23 03:28:52,FALSE,"FALSE",0,FALSE,2020-01-23 03:28:52,0
2020-01-23 09:56:43,TRUE,"FALSE",0,FALSE,2020-01-23 09:56:43,0
2020-01-24 02:53:31,FALSE,"FALSE",0,FALSE,2020-01-24 02:53:31,0
2020-01-24 10:00:44,TRUE,"FALSE",0,FALSE,2020-01-24 10:00:44,0
2020-01-25 01:39:07,FALSE,"FALSE",0,FALSE,2020-01-25 01:39:07,0
2020-01-25 10:00:24,TRUE,"FALSE",0,FALSE,2020-01-25 10:00:24,0
2020-01-26 01:02:49,FALSE,"FALSE",0,FALSE,2020-01-26 01:02:49,0
2020-01-26 10:03:32,TRUE,"FALSE",0,FALSE,2020-01-26 10:03:32,0
2020-01-27 01:07:36,FALSE,"FALSE",0,TRUE,2020-01-27 00:58:56,0
2020-02-01 10:20:48,TRUE,"FALSE",0,TRUE,2020-02-01 10:44:00,0
2020-02-02 00:53:46,FALSE,"FALSE",0,FALSE,2020-02-02 00:53:46,0
2020-02-02 10:13:20,TRUE,"FALSE",0,FALSE,2020-02-02 10:13:20,0
2020-02-03 01:25:41,FALSE,"FALSE",0,FALSE,2020-02-03 01:25:41,0
2020-02-03 09:45:46,TRUE,"FALSE",0,FALSE,2020-02-03 09:45:46,0
2020-02-04 01:45:40,FALSE,"FALSE",0,FALSE,2020-02-04 01:45:40,0
2020-02-04 09:58:16,TRUE,"FALSE",0,FALSE,2020-02-04 09:58:16,0
2020-02-05 01:20:38,FALSE,"FALSE",0,FALSE,2020-02-05 01:20:38,0
2020-02-05 10:23:14,TRUE,"FALSE",0,FALSE,2020-02-05 10:23:14,0
2020-02-06 01:45:36,FALSE,"FALSE",0,FALSE,2020-02-06 01:45:36,0
2020-02-06 10:28:13,TRUE,"FALSE",0,FALSE,2020-02-06 10:28:13,0
2020-02-07 02:52:28,FALSE,"FALSE",0,FALSE,2020-02-07 02:52:28,0
2020-02-07 10:38:11,TRUE,"FALSE",0,FALSE,2020-02-07 10:38:11,0
2020-02-08 03:15:33,FALSE,"FALSE",0,FALSE,2020-02-08 03:15:33,0
2020-02-08 11:24:49,TRUE,"FALSE",0,FALSE,2020-02-08 11:24:49,0
2020-02-09 02:27:25,FALSE,"FALSE",0,FALSE,2020-02-09 02:27:25,0
2020-02-09 11:03:07,TRUE,"FALSE",0,FALSE,2020-02-09 11:03:07,0
2020-02-10 02:08:01,FALSE,"FALSE",0,FALSE,2020-02-10 02:08:01,0
2020-02-10 10:59:43,TRUE,"FALSE",0,FALSE,2020-02-10 10:59:43,0
