"Twilight","Rise","Deleted","Marker","Inserted","Twilight3","Marker3"
2020-01-02 09:48:12,TRUE,FALSE,0,TRUE,2020-01-02 10:07:53,0
2020-01-03 01:27:23,FALSE,FALSE,0,FALSE,2020-01-03 01:27:23,0
2020-01-03 09:30:00,TRUE,FALSE,0,FALSE,2020-01-03 09:30:00,0
2020-01-04 01:54:17,FALSE,FALSE,0,FALSE,2020-01-04 01:54:17,0
2020-01-04 09:12:28,TRUE,FALSE,0,FALSE,2020-01-04 09:12:28,0
2020-01-05 02:24:17,FALSE,FALSE,0,FALSE,2020-01-05 02:24:17,0
2020-01-05 08:33:06,TRUE,FALSE,0,FALSE,2020-01-05 08:33:06,0
2020-01-06 02:44:18,FALSE,FALSE,0,FALSE,2020-01-06 02:44:18,0
2020-01-06 08:37:29,TRUE,FALSE,0,FALSE,2020-01-06 08:37:29,0
2020-01-07 04:12:24,FALSE,FALSE,0,FALSE,2020-01-07 04:12:24,0
2020-01-07 08:42:29,TRUE,FALSE,0,FALSE,2020-01-07 08:42:29,0
2020-01-08 03:47:24,FALSE,FALSE,0,FALSE,2020-01-08 03:47:24,0
2020-01-08 09:10:01,TRUE,FALSE,0,FALSE,2020-01-08 09:10:01,0
2020-01-09 04:10:27,FALSE,FALSE,0,FALSE,2020-01-09 04:10:27,0
2020-01-09 09:27:29,TRUE,FALSE,0,FALSE,2020-01-09 09:27:29,0
2020-01-10 03:40:15,FALSE,FALSE,0,FALSE,2020-01-10 03:40:15,0
2020-01-10 09:27:10,TRUE,FALSE,0,FALSE,2020-01-10 09:27:10,0
2020-01-11 02:34:18,FALSE,FALSE,0,FALSE,2020-01-11 02:34:18,0
2020-01-11 09:17:10,TRUE,FALSE,0,FALSE,2020-01-11 09:17:10,0
2020-01-12 02:17:24,FALSE,FALSE,0,FALSE,2020-01-12 02:17:24,0
2020-01-12 09:21:58,TRUE,FALSE,0,FALSE,2020-01-12 09:21:58,0
2020-01-13 01:52:24,FALSE,FALSE,0,FALSE,2020-01-13 01:52:24,0
2020-01-13 09:00:01,TRUE,FALSE,0,FALSE,2020-01-13 09:00:01,0
2020-01-14 01:32:24,FALSE,FALSE,0,FALSE,2020-01-14 01:32:24,0
2020-01-14 09:22:29,TRUE,FALSE,0,FALSE,2020-01-14 09:22:29,0
2020-01-15 01:07:36,FALSE,FALSE,0,TRUE,2020-01-15 00:58:56,0
2020-01-30 10:32:01,TRUE,FALSE,0,TRUE,2020-01-30 10:51:14,0
2020-01-31 01:42:26,FALSE,FALSE,0,FALSE,2020-01-31 01:42:26,0
2020-01-31 10:42:31,TRUE,FALSE,0,FALSE,2020-01-31 10:42:31,0
2020-02-01 01:49:20,FALSE,FALSE,0,FALSE,2020-02-01 01:49:20,0
2020-02-01 10:07:31,TRUE,FALSE,0,FALSE,2020-02-01 10:07:31,0
2020-02-02 01:44:20,FALSE,FALSE,0,FALSE,2020-02-02 01:44:20,0
2020-02-02 09:22:31,TRUE,FALSE,0,FALSE,2020-02-02 09:22:31,0
2020-02-03 02:59:58,FALSE,FALSE,0,FALSE,2020-02-03 02:59:58,0
2020-02-03 09:58:09,TRUE,FALSE,0,FALSE,2020-02-03 09:58:09,0
2020-02-04 02:47:26,FALSE,FALSE,0,FALSE,2020-02-04 02:47:26,0
2020-02-04 09:48:09,TRUE,FALSE,0,FALSE,2020-02-04 09:48:09,0
2020-02-05 03:04:20,FALSE,FALSE,0,FALSE,2020-02-05 03:04:20,0
2020-02-05 09:35:03,TRUE,FALSE,0,FALSE,2020-02-05 09:35:03,0
2020-02-06 02:59:58,FALSE,FALSE,0,FALSE,2020-02-06 02:59:58,0
2020-02-06 09:43:09,TRUE,FALSE,0,FALSE,2020-02-06 09:43:09,0
2020-02-07 03:52:26,FALSE,FALSE,0,FALSE,2020-02-07 03:52:26,0
2020-02-07 11:02:12,TRUE,FALSE,0,FALSE,2020-02-07 11:02:12,0
2020-02-08 02:55:17,FALSE,FALSE,0,FALSE,2020-02-08 02:55:17,0
2020-02-08 11:15:03,TRUE,FALSE,0,FALSE,2020-02-08 11:15:03,0
2020-02-09 02:04:20,FALSE,FALSE,0,FALSE,2020-02-09 02:04:20,0
2020-02-09 10:52:32,TRUE,FALSE,0,FALSE,2020-02-09 10:52:32,0
2020-02-10 01:17:27,FALSE,FALSE,0,FALSE,2020-02-10 01:17:27,0
2020-02-10 10:23:10,TRUE,FALSE,0,FALSE,2020-02-10 10:23:10,0
2020-02-11 01:00:30,FALSE,FALSE,0,FALSE,2020-02-11 01:00:30,0
2020-02-11 10:22:32,TRUE,FALSE,0,FALSE,2020-02-11 10:22:32,0
2020-02-12 00:34:59,FALSE,FALSE,0,FALSE,2020-02-12 00:34:59,0
2020-02-12 10:00:04,TRUE,FALSE,0,FALSE,2020-02-12 10:00:04,0
2020-02-13 00:40:18,FALSE,FALSE,0,FALSE,2020-02-13 00:40:18,0
2020-02-13 10:38:10,TRUE,FALSE,0,FALSE,2020-02-13 10:38:10,0
2020-02-14 00:54:59,FALSE,FALSE,0,FALSE,2020-02-14 00:54:59,0
2020-02-14 10:28:10,TRUE,FALSE,0,FALSE,2020-02-14 10:28:10,0
2020-02-15 00:34:21,FALSE,FALSE,0,FALSE,2020-02-15 00:34:21,0
2020-02-15 09:55:04,TRUE,FALSE,0,FALSE,2020-02-15 09:55:04,0
2020-02-16 00:37:27,FALSE,FALSE,0,FALSE,2020-02-16 00:37:27,0
2020-02-16 09:53:10,TRUE,FALSE,0,FALSE,2020-02-16 09:53:10,0
2020-02-17 00:45:30,FALSE,FALSE,0,FALSE,2020-02-17 00:45:30,0
2020-02-17 09:35:04,TRUE,FALSE,0,FALSE,2020-02-17 09:35:04,0
2020-02-18 00:55:18,FALSE,FALSE,0,FALSE,2020-02-18 00:55:18,0
2020-02-18 09:41:44,TRUE,FALSE,0,FALSE,2020-02-18 09:41:44,0
2020-02-19 00:52:27,FALSE,FALSE,0,FALSE,2020-02-19 00:52:27,0
2020-02-19 09:45:04,TRUE,FALSE,0,FALSE,2020-02-19 09:45:04,0
2020-02-20 01:07:27,FALSE,FALSE,0,FALSE,2020-02-20 01:07:27,0
2020-02-20 09:47:32,TRUE,FALSE,0,FALSE,2020-02-20 09:47:32,0
2020-02-21 01:04:22,FALSE,FALSE,0,FALSE,2020-02-21 01:04:22,0
2020-02-21 10:08:11,TRUE,FALSE,0,FALSE,2020-02-21 10:08:11,0
2020-02-22 00:49:22,FALSE,FALSE,0,FALSE,2020-02-22 00:49:22,0
2020-02-22 10:23:11,TRUE,FALSE,0,FALSE,2020-02-22 10:23:11,0
2020-02-23 00:39:22,FALSE,FALSE,0,FALSE,2020-02-23 00:39:22,0
2020-02-23 10:42:33,TRUE,FALSE,0,FALSE,2020-02-23 10:42:33,0
2020-02-24 00:47:28,FALSE,FALSE,0,FALSE,2020-02-24 00:47:28,0
2020-02-24 10:30:05,TRUE,FALSE,0,FALSE,2020-02-24 10:30:05,0
2020-02-25 00:50:19,FALSE,FALSE,0,FALSE,2020-02-25 00:50:19,0
2020-02-25 11:05:05,TRUE,FALSE,0,FALSE,2020-02-25 11:05:05,0
2020-02-26 01:10:31,FALSE,FALSE,0,FALSE,2020-02-26 01:10:31,0
2020-02-26 11:07:14,TRUE,FALSE,0,FALSE,2020-02-26 11:07:14,0
2020-02-27 01:07:28,FALSE,FALSE,0,FALSE,2020-02-27 01:07:28,0
2020-02-27 10:42:14,TRUE,FALSE,0,FALSE,2020-02-27 10:42:14,0
2020-02-28 00:55:19,FALSE,FALSE,0,FALSE,2020-02-28 00:55:19,0
2020-02-28 10:31:29,TRUE,FALSE,0,FALSE,2020-02-28 10:31:29,0
2020-02-29 00:32:28,FALSE,FALSE,0,FALSE,2020-02-29 00:32:28,0
2020-02-29 10:13:11,TRUE,FALSE,0,FALSE,2020-02-29 10:13:11,0
2020-03-01 00:29:22,FALSE,FALSE,0,FALSE,2020-03-01 00:29:22,0
2020-03-01 10:15:05,TRUE,FALSE,0,FALSE,2020-03-01 10:15:05,0
2020-03-02 00:27:28,FALSE,FALSE,0,FALSE,2020-03-02 00:27:28,0
2020-03-02 10:32:33,TRUE,FALSE,0,FALSE,2020-03-02 10:32:33,0
2020-03-03 00:15:00,FALSE,FALSE,0,FALSE,2020-03-03 00:15:00,0
2020-03-03 10:42:34,TRUE,FALSE,0,FALSE,2020-03-03 10:42:34,0
2020-03-04 00:32:29,FALSE,FALSE,0,FALSE,2020-03-04 00:32:29,0
2020-03-04 10:41:50,TRUE,FALSE,0,FALSE,2020-03-04 10:41:50,0
2020-03-05 00:20:20,FALSE,FALSE,0,FALSE,2020-03-05 00:20:20,0
2020-03-05 10:33:12,TRUE,FALSE,0,FALSE,2020-03-05 10:33:12,0
2020-03-06 00:07:29,FALSE,FALSE,0,FALSE,2020-03-06 00:07:29,0
2020-03-06 10:25:06,TRUE,FALSE,0,FALSE,2020-03-06 10:25:06,0
2020-03-07 00:15:20,FALSE,FALSE,0,FALSE,2020-03-07 00:15:20,0
2020-03-07 10:20:06,TRUE,FALSE,0,FALSE,2020-03-07 10:20:06,0
2020-03-08 00:17:29,FALSE,FALSE,0,FALSE,2020-03-08 00:17:29,0
2020-03-08 10:22:03,TRUE,FALSE,0,FALSE,2020-03-08 10:22:03,0
2020-03-09 00:12:29,FALSE,FALSE,0,FALSE,2020-03-09 00:12:29,0
2020-03-09 10:20:06,TRUE,FALSE,0,FALSE,2020-03-09 10:20:06,0
2020-03-10 00:20:20,FALSE,FALSE,0,FALSE,2020-03-10 00:20:20,0
2020-03-10 11:08:12,TRUE,FALSE,0,FALSE,2020-03-10 11:08:12,0
2020-03-11 00:30:01,FALSE,FALSE,0,FALSE,2020-03-11 00:30:01,0
2020-03-11 11:12:03,TRUE,FALSE,0,FALSE,2020-03-11 11:12:03,0
2020-03-12 00:15:01,FALSE,FALSE,0,FALSE,2020-03-12 00:15:01,0
