"","File","ID","zen","zen0","alpha_mean","alpha_sd"
"1","GLS11 D05 B70.lux","GLS11 D05 B70",93.8181561132434,95.0822765481112,0.960457510242419,0.141593312804284
"2","GLS20 D13 B81.lux","GLS20 D13 B81",93.638693650726,97.7925874540208,1.13237887543148,0.0549097382092897
"3","GLS37 D15 B83.lux","GLS37 D15 B83",93.799163904423,94.8271792645279,0.885162975365134,0.174953720533645
"4","GLS38 D17 B93.lux","GLS38 D17 B93",93.9797148736585,94.8568226046005,0.961948137427532,0.17788723840581
"5","GLS55 D23 B79.lux","GLS55 D23 B79",93.7356526775732,95.7328096869272,1.00398754059302,0.100464184665164
"6","GLS57 D25 B81.lux","GLS57 D25 B81",93.7356469280305,96.5893306908447,1.20641087986408,0.0865679896483132
"7","GLS59 D26 B64.lux","GLS59 D26 B64",92.2857245586659,93.6157784698187,0.964507617287111,0.161558153547616
"8","GLS60 D27 B67.lux","GLS60 D27 B67",93.4197473491753,95.0156576954715,1.05013564449655,0.144576541727011
"9","GLS62 D30 B70.lux","GLS62 D30 B70",93.6134828782914,94.3953955319065,0.741232875765184,0.216429471277735
"10","GLS8 D02 B67.lux","GLS8 D02 B67",93.0432257420093,98.7222808730551,0.979050251989549,0.0351255904473842
