"Twilight","Rise","Deleted","Marker","Inserted","Twilight3","Marker3"
2022-01-17 00:58:56,FALSE,FALSE,0,FALSE,2022-01-17 00:58:56,0
2022-01-17 10:07:07,TRUE,FALSE,0,FALSE,2022-01-17 10:07:07,0
2022-01-18 01:07:02,FALSE,FALSE,0,FALSE,2022-01-18 01:07:02,0
2022-01-18 10:14:39,TRUE,FALSE,0,FALSE,2022-01-18 10:14:39,0
2022-01-19 00:58:56,FALSE,FALSE,0,FALSE,2022-01-19 00:58:56,0
2022-01-19 10:09:39,TRUE,FALSE,0,FALSE,2022-01-19 10:09:39,0
2022-01-20 00:59:34,FALSE,FALSE,0,FALSE,2022-01-20 00:59:34,0
2022-01-20 10:12:45,TRUE,FALSE,0,FALSE,2022-01-20 10:12:45,0
