"Twilight","Rise","Deleted","Marker","Inserted","Twilight3","Marker3"
2019-12-26 00:58:15,FALSE,FALSE,0,FALSE,2019-12-26 00:58:15,0
2019-12-26 09:58:58,TRUE,FALSE,0,FALSE,2019-12-26 09:58:58,0
2019-12-27 00:50:09,FALSE,FALSE,0,FALSE,2019-12-27 00:50:09,0
2019-12-27 09:58:58,TRUE,FALSE,0,FALSE,2019-12-27 09:58:58,0
2019-12-28 00:55:46,FALSE,FALSE,0,FALSE,2019-12-28 00:55:46,0
2019-12-28 10:00:51,TRUE,FALSE,0,FALSE,2019-12-28 10:00:51,0
2019-12-29 00:50:46,FALSE,FALSE,0,FALSE,2019-12-29 00:50:46,0
2019-12-29 09:58:57,TRUE,FALSE,0,FALSE,2019-12-29 09:58:57,0
2019-12-30 00:55:46,FALSE,FALSE,0,FALSE,2019-12-30 00:55:46,0
2019-12-30 09:58:18,TRUE,FALSE,0,FALSE,2019-12-30 09:58:18,0
