"Twilight","Rise","Deleted","Marker","Inserted","Twilight3","Marker3"
2022-01-09 01:10:25,FALSE,FALSE,0,FALSE,2022-01-09 01:10:25,0
2022-01-09 09:53:36,TRUE,FALSE,0,FALSE,2022-01-09 09:53:36,0
2022-01-10 01:05:25,FALSE,FALSE,0,FALSE,2022-01-10 01:05:25,0
2022-01-10 10:03:37,TRUE,FALSE,0,FALSE,2022-01-10 10:03:37,0
2022-01-11 01:05:26,FALSE,FALSE,0,FALSE,2022-01-11 01:05:26,0
2022-01-11 09:58:37,TRUE,FALSE,0,FALSE,2022-01-11 09:58:37,0
2022-01-12 00:55:26,FALSE,FALSE,0,FALSE,2022-01-12 00:55:26,0
2022-01-12 10:13:37,TRUE,FALSE,0,FALSE,2022-01-12 10:13:37,0
